domain	kb_version	paper_id	theory	paper_title	author	year	kb_file	doi	link
ep-core	v0.2	006	Ecological Approach to Landscape Perception	Affordances and the perception of landscape: an inquiry into environmental perception and aesthetics	Harry Heft	2010	ecological_approach_landscape-heft-2010-details.md		
ep-core	v0.2	018	Ecological Approach to Place	Places: Widening the Scope of an Ecological Approach to Perception–Action With an Emphasis on Child Development	Harry Heft	2018	ecological_approach_to_place-heft-2018-core.md		
ep-core	v0.2	018	Ecological Approach to Place	Places: Widening the Scope of an Ecological Approach to Perception–Action With an Emphasis on Child Development	Harry Heft	2018	ecological_approach_to_place-heft-2018-details.md		
ep-core	v0.2	005	Environmental Preference Matrix	Aesthetics, Affect, and Cognition: Environmental Preference from an Evolutionary Perspective	Stephen Kaplan	1987	environmental_preference_matrix-kaplan-1987-core.md		
ep-core	v0.2	005	Environmental Preference Matrix	Aesthetics, Affect, and Cognition: Environmental Preference from an Evolutionary Perspective	Stephen Kaplan	1987	environmental_preference_matrix-kaplan-1987-details.md		
ep-core	v0.2	013	Goal-Framing Theory	Goal-framing Theory and Norm-Guided Environmental Behavior	Lindenberg & Steg	2013	goal_framing_theory-lindenberg-2013-core.md		
ep-core	v0.2	013	Goal-Framing Theory	Goal-framing Theory and Norm-Guided Environmental Behavior	Lindenberg & Steg	2013	goal_framing_theory-lindenberg-2013-details.md		
ep-core	v0.2	014	Human Crowding Personal Control	Human Crowding and Personal Control: An Integration of the Research	Schmidt & Keating	1979	human_crowding_personal_control-schmidt-1979-core.md		
ep-core	v0.2	014	Human Crowding Personal Control	Human Crowding and Personal Control: An Integration of the Research	Schmidt & Keating	1979	human_crowding_personal_control-schmidt-1979-details.md		
ep-core	v0.2	029	Lynch's Five Elements	The Image of the City	Kevin Lynch	1960	lynchs_five_elements_lynch_1960_core.md		
ep-core	v0.2	015	Perceptual Fluency Theory	Is love for green in our genes? A critical analysis of evolutionary assumptions in restorative environments research	Joye & van den Berg	2011	perceptual_fluency_theory_joye-2011-core.md		
ep-core	v0.2	015	Perceptual Fluency Theory	Is love for green in our genes? A critical analysis of evolutionary assumptions in restorative environments research	Joye & van den Berg	2011	perceptual_fluency_theory_joye-2011-details.md		
ep-core	v0.2	017	2011 Review on the Context for Place Attachment	Place attachment: How far have we come in the last 40 years?	Maria Lewicka	2011	place_attachment_review-lewicka-2011-core.md.md		
ep-core	v0.2	019	Privacy Regulation Theory	Privacy: A Conceptual Analysis	Irwin Altman	1976	privacy_regulation_theory_altman_1976_core.md		
ep-core	v0.2	019	Privacy Regulation Theory	Privacy: A Conceptual Analysis	Irwin Altman	1976	privacy_regulation_theory_altman_1976_details.md		
ep-core	v0.2	021	Relational Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	relational_restoration_theory-hartig-2021-core.md		
